Name,Vertices,Edges,Density,Max Degree,Lower Bound,Upper Bound,Triangles,Average Degree,Std Dev Degree,Solution Size,Time Taken (seconds),Solution Size_scip,Time Taken (seconds)_scip,Solution Size_scip_reduced,Time Taken (seconds)_scip_reduced,Solution Size_highs_reduced,Time Taken (seconds)_highs_reduced,Isolated,Single Edge,Dominating,Set Size
exact_171.gr,2780,5540,0.00143419,8,455.329,730,408,3.98561,1.16629,,,,,,,,,0,4,0,4
exact_173.gr,3006,10806,0.00239255,37,81.1664,300,0,7.18962,9.6005,,,,,,,,,0,6,0,6
exact_175.gr,4531,5764,0.000561645,15,1027.02,1457,354,2.54425,1.00252,1299.0,0.21,1299.0,0.25,1270.0,0.32,1270.0,0.25,0,29,426,29
exact_177.gr,3023,6149,0.00134618,129,314.056,1112,1047,4.06814,6.80249,707.0,0.01,707.0,0.01,-1.0,-1.0,-1.0,-1.0,0,374,55,374
exact_179.gr,3045,9335,0.00201425,25,203.691,1062,160,6.13136,4.57542,601.0,15.89,601.0,5.38,499.0,8.62,499.0,12.93,0,102,0,102
exact_181.gr,3193,7558,0.00148312,9,519.3,733,6957,4.73411,1.95512,601.0,0.03,601.0,0.08,-1.0,-1.0,-1.0,-1.0,0,2,4818,2
exact_183.gr,3340,9648,0.00173023,36,228.928,861,20,5.77725,5.18301,,,,,,,,,0,465,0,465
exact_185.gr,3478,8273,0.00136823,24,276.591,991,0,4.75733,4.13276,,,,,,,,,0,1,0,1
exact_187.gr,4858,11029,0.000934847,7,755.151,1433,1120,4.54055,1.13121,,,,,,,,,0,8,0,8
exact_189.gr,3575,7310,0.00114424,37,153.305,195,0,4.08951,5.43188,195.0,0.03,195.0,0.12,195.0,0.12,195.0,0.03,0,0,0,0
exact_191.gr,3850,5029,0.000678739,73,1233.79,1452,0,2.61247,4.38965,1329.0,0.87,1329.0,0.74,168.0,1.08,168.0,0.86,0,1161,0,1161
exact_193.gr,4320,6762,0.000724833,36,264.592,1840,2142,3.13056,5.03277,540.0,0.02,540.0,0.07,251.0,0.06,251.0,0.03,0,289,0,289
exact_195.gr,5224,10945,0.000802274,1501,394.736,1838,501,4.19028,25.0154,1001.0,0.07,1001.0,0.07,501.0,0.06,501.0,0.06,0,500,0,500
exact_197.gr,7302,8107,0.000304135,1532,190.033,1871,187,2.22049,26.2787,348.0,0.02,348.0,0.03,121.0,0.01,121.0,0.04,0,227,0,227
exact_199.gr,10460,7213,0.000131863,4,3794.08,4469,58,1.37916,0.56948,4332.0,0.01,4332.0,0.04,-1.0,-1.0,-1.0,-1.0,0,3682,96,3682
